|word|wordcount
0|риа новости|359
1|франции франции|313
2|сообщает риа|262
3|сообщает интерфакс|236
4|результате погибли|218
5|последние годы|213
6|словам настоящее|174
7|настоящее находится|142
8|инцидент произошел|142
9|возбуждено уголовное|142
10|владимир путин|140
11|россии владимир|138
12|президент россии|135
13|главы государства|131
14|сообщается сайте|129
15|получили ранения|127
16|решение принято|123
17|лишения свободы|119
18|ук рф|116
19|данным издания|116
20|погибли большинство|115
21|принято решение|114
22|ходе беседы|103
23|миллиарда долларов|102
24|общей сложности|101
25|среду марта|100
26|правоохранительных органах|98
27|россии продано|94
28|результате инцидента|94
29|результате теракта|91
30|данном случае|91
31|инцидента пострадал|90
32|мнению аналитиков|90
33|таким образом|88
34|уголовное статье|86
35|погибли числе|84
36|ранее сообщалось|82
37|статье ук|81
38|источник правоохранительных|80
39|словам главы|77
40|результате происшествия|77
41|среду сентября|76
42|передает риа|76
43|числе детей|75
44|погибли получили|74
45|результате столкновений|73
46|санкций россии|72
47|сборной россии|72
48|ссылкой источник|71
49|уголовного дела|71
50|настоящее ведется|70
51|ходе беспорядков|70
52|результате аварии|68
53|большинство убиты|68
54|ведется расследование|66
55|заявил ходе|66
56|числе двое|66
57|двое детей|66
58|среду июня|65
59|отметил настоящее|64
60|годам лишения|62
61|новости результате|62
62|теракта погибли|62
63|начались массовые|62
64|данным следствия|62
65|процента процента|61
66|президент украины|61
67|данным результате|59
68|словам собеседника|59
69|настоящее идет|59
70|словам источника|59
71|пишет газета|58
72|введении санкций|58
73|возбуждении уголовного|58
74|приговорен годам|57
75|марта москве|57
76|источника агентства|57
77|происшествия пострадал|56
78|мире насчитывается|56
79|россии зафиксировано|56
80|ходе операции|56
81|произошел среду|56
82|примут участие|56
83|отмечает агентство|55
84|никакого отношения|55
85|ходе расследования|55
86|стране насчитывается|55
87|составе сборной|54
88|миллиарда рублей|53
89|расследования дела|53
90|новости ссылкой|53
91|результате дтп|52
92|мнению главы|51
93|настоящее стране|51
94|настоящее мире|51
95|сайте ведомства|50
96|собеседника агентства|50
97|отмечает издание|49
98|сентября сообщает|49
99|правоохранительных органов|49
100|миллиона долларов|48
101|предварительным данным|48
102|нью йорке|47
103|ходе проверки|47
104|исключен отсутствия|47
105|интерфакс ссылкой|47
106|настоящее афганистане|46
107|числе числе|46
108|среду февраля|46
109|россии насчитывается|46
110|первым заместителем|45
111|аварии погибли|45
112|управления мвд|44
113|цен нефть|44
114|заседании правительства|44
115|последним данным|44
116|составил миллиарда|44
117|приняли участие|43
118|настоящее данном|43
119|находится отпуске|43
120|рф убийство|42
121|случае принятия|42
122|миллиардов долларов|41
123|сайте регионального|41
124|уголовное статьям|41
125|отношения россии|40
126|настоящее находятся|40
127|участвовать выборах|40
128|агентства результате|40
129|подписал указ|40
130|путин подписал|40
131|данным агентства|39
132|президента сша|39
133|афганистане находятся|39
134|регионального управления|39
135|ходе перестрелки|39
136|президентом россии|39
137|операции боевиков|39
138|агентства настоящее|39
139|месте происшествия|38
140|погибли сотни|38
141|находится больнице|38
142|происшествия прибыли|38
143|владимиром путиным|38
144|беседы президентом|38
145|украины виктор|37
146|данным росстата|37
147|течение ближайших|37
148|массовые беспорядки|37
149|путин заявил|37
150|занимал должность|37
151|виктор ющенко|37
152|слова приводит|37
153|результате взрыва|36
154|годы жил|36
155|тяжелом состоянии|36
156|газета коммерсант|36
157|рамках программы|36
158|сообщении отмечается|36
159|государства настоящее|35
160|сотни получили|35
161|словам ходе|35
162|отношении задержанных|35
163|настоящее отношении|34
164|продано долларов|34
165|ходе обсуждения|34
166|единой россии|34
167|президента россии|34
168|миллиардов рублей|34
169|процента пункта|34
170|газета ведомости|34
171|миллиона рублей|33
172|принят закон|33
173|россии принято|33
174|ранее среду|32
175|дела контрабанде|32
176|россии владимиром|32
177|происшествия работают|32
178|словам министра|32
179|новости заявил|32
180|тонн зерна|31
181|мнению экспертов|31
182|статьям ук|31
183|уйти отставку|31
184|находится стражей|31
185|расположен офис|31
186|занимал пост|30
187|сотрудники милиции|30
188|сообщалось результате|30
189|вырос процента|30
190|курс доллара|30
191|получение взятки|30
192|большинство госпитализированы|30
193|объем инвестиций|30
194|состоится марта|29
195|грозит лишения|29
196|сша великобритании|29
197|рф получение|29
198|россии составляет|29
199|решение возбуждении|29
200|пост президента|28
201|акции протеста|28
202|рамках расследования|28
203|сообщает тасс|28
204|столкновений погибли|28
205|возглавил сборную|28
206|выборах госдуму|28
207|киеве начались|28
208|летний спортсмен|28
209|случае вина|27
210|дании дании|27
211|участие выборах|27
212|сборную россии|27
213|наказание виде|27
214|котором приняли|27
215|принято заседании|27
216|убиты двое|27
217|состав россии|26
218|числе россии|26
219|результате обстрела|26
220|сообщалось ходе|26
221|выиграл чемпионат|26
222|ввп россии|26
223|армения армения|26
224|смог лицензию|25
225|намерен отказываться|25
226|принято связи|25
227|вина доказана|25
228|скончался больнице|25
229|марта президент|25
230|ссылкой представителя|25
231|правления газпрома|25
232|виде лишения|25
233|составляет долларов|25
234|продано рублей|25
235|проживают числе|25
236|отношении возбуждено|25
237|германии франции|25
238|информации издания|25
239|сообщалось ранее|25
240|годом ранее|24
241|штраф размере|24
242|рф мошенничество|24
243|первом квартале|24
244|отношении бывшего|24
245|идет речь|24
